thread_id,front_id,client_operation,back_id,dag_operation,total_time,front_time,back_time
0,-1,,1,apply,,10052.796,529
0,-1,,4,apply,,1819.07,420
0,-1,,3,apply,,1546.692,426
0,-1,,2,apply,,2690.402,557
0,-1,,5,apply,,1551.79,342
1,-1,,1,stateful_query,,9299.564,93
0,-1,,6,apply,,1268.726,343
0,-1,,10,apply,,1716.684,542
0,-1,,8,apply,,1192.529,365
0,-1,,7,apply,,1949.951,521
0,-1,,9,apply,,1788.48,462
0,0, get_prescription_medication,11,stateful_query,4646.36,10.056,74
1,0, get_pharmacy_prescriptions,2,stateful_query,2802.636,10.546,32
0,1, get_prescription_medication,12,stateful_query,1924.669,8.52,46
1,1, get_prescription,3,stateful_query,4319.016,9.429,22
1,2, get_pharmacy_prescriptions,4,stateful_query,2104.858,8.59,24
0,2, get_prescription_medication,13,stateful_query,2431.573,9.569,31
0,3, get_prescription_medication,14,stateful_query,2323.948,10.057,34
1,3, get_prescription,5,stateful_query,2432.131,13.69,39
0,4, get_pharmacy_prescriptions,15,stateful_query,3401.17,6.077,42
1,4, process_prescription,6,apply,17021.497,8566.656,310
0,5, get_pharmacy_prescriptions,16,stateful_query,2226.171,7.333,50
1,5, get_pharmacy_prescriptions,7,stateful_query,3634.019,342.498,35
1,6, get_staff_prescriptions,8,stateful_query,2970.952,7.543,33
0,6, get_patient,17,stateful_query,2536.683,391.387,39
1,7, get_pharmacy_prescriptions,9,stateful_query,2690.402,6.146,31
0,7, get_pharmacy_prescriptions,18,stateful_query,2298.666,6.147,38
0,8, get_prescription_medication,19,stateful_query,2352.024,9.988,51
1,8, get_pharmacy_prescriptions,10,stateful_query,2168.134,7.682,21
1,9, get_pharmacy_prescriptions,11,stateful_query,1571.484,5.308,20
0,9, get_prescription_medication,20,stateful_query,2160.032,10.057,47
1,10, get_pharmacy_prescriptions,12,stateful_query,2154.305,4.749,23
0,10, get_patient,21,stateful_query,3841.586,3743.04,27
0,11, get_processed_pharmacy_prescriptions,22,stateful_query,3306.466,34.99,48
1,11, get_prescription_medication,13,stateful_query,3260.861,11.454,19
1,12, get_prescription_medication,14,stateful_query,2708.7,9.499,51
0,12, get_pharmacy_prescriptions,23,stateful_query,2643.12,5.727,51
0,13, get_staff_prescriptions,24,stateful_query,3131.585,5.307,47
1,13, get_staff_prescriptions,15,stateful_query,2735.45,660.902,28
0,14, get_prescription_medication,25,stateful_query,2679.786,10.057,25
1,14, update_prescription_medication,16,apply,3414.79,996.137,401
1,15, get_pharmacy_prescriptions,17,stateful_query,2046.192,156.165,43
0,15, get_prescription_medication,26,stateful_query,2647.799,7.193,22
0,16, get_prescription_medication,27,stateful_query,1746.646,11.454,31
1,16, get_staff_prescriptions,18,stateful_query,3108.328,349.064,64
1,17, get_prescription_medication,19,stateful_query,2675.247,16.203,59
0,17, create_prescription,28,apply,4925.094,1909.304,425
0,18, get_pharmacy_prescriptions,29,stateful_query,3321.971,480.573,54
1,18, process_prescription,20,apply,4353.658,1566.945,422
1,19, get_staff_prescriptions,21,stateful_query,2655.621,247.725,21
0,19, process_prescription,30,apply,3846.964,1091.68,282
0,20, get_patient,31,stateful_query,2602.403,1177.025,32
1,20, get_processed_pharmacy_prescriptions,22,stateful_query,3161.827,9.638,69
1,21, create_prescription,23,apply,5868.362,2891.124,596
0,21, get_patient,32,stateful_query,3079.973,256.734,26
1,22, get_prescription_medication,24,stateful_query,2698.224,276.15,51
0,22, get_pharmacy_prescriptions,33,stateful_query,1994.928,4.75,36
1,23, get_prescription_medication,25,stateful_query,2226.94,9.917,37
0,23, get_staff_prescriptions,34,stateful_query,4597.261,810.082,40
