thread_id,front_id,client_operation,back_id,dag_operation,total_time,front_time,back_time
0,-1,,1,apply,,10008.727,572
0,-1,,2,apply,,2601.509,556
0,-1,,3,apply,,1736.083,443
0,-1,,4,apply,,1576.595,447
0,-1,,5,apply,,1577.407,370
0,-1,,6,apply,,2228.513,542
0,-1,,7,apply,,1870.794,441
0,-1,,8,apply,,1786.598,424
0,-1,,9,apply,,2060.038,663
10,-1,,1,stateful_query,,9884.244,69
25,-1,,1,stateful_query,,9575.949,102
2,-1,,1,stateful_query,,10414.444,69
9,-1,,1,stateful_query,,9968.462,97
19,-1,,1,stateful_query,,10538.877,95
20,-1,,1,stateful_query,,10089.158,109
4,-1,,1,stateful_query,,9106.1,72
8,-1,,1,stateful_query,,9386.084,76
18,-1,,1,stateful_query,,9972.369,95
11,-1,,1,stateful_query,,9721.12,100
28,-1,,1,stateful_query,,8916.236,95
5,-1,,1,stateful_query,,9815.696,91
15,-1,,1,stateful_query,,9006.214,73
7,-1,,1,stateful_query,,9277.731,88
26,-1,,1,stateful_query,,8405.643,94
22,-1,,1,stateful_query,,8722.485,91
16,-1,,1,stateful_query,,8356.79,99
6,-1,,1,stateful_query,,9334.738,68
21,-1,,1,stateful_query,,8700.462,68
0,-1,,10,apply,,1881.514,574
13,-1,,1,stateful_query,,9342.593,92
30,-1,,1,stateful_query,,8958.135,96
1,-1,,1,stateful_query,,9188.625,80
17,-1,,1,stateful_query,,9799.155,96
24,-1,,1,stateful_query,,9672.499,75
14,-1,,1,stateful_query,,9097.705,101
23,-1,,1,stateful_query,,9009.901,119
12,-1,,1,stateful_query,,10589.532,66
3,-1,,1,stateful_query,,9961.087,79
31,-1,,1,stateful_query,,8917.769,100
27,-1,,1,stateful_query,,8826.699,150
29,-1,,1,stateful_query,,8673.513,100
15,0, update_prescription_medication,2,apply,36779.527,7673.625,456
8,0, get_staff_prescriptions,2,stateful_query,29182.424,14836.034,75
0,0, get_prescription_medication,11,stateful_query,17388.884,4362.711,97
14,0, create_prescription,2,apply,48016.938,12968.666,576
6,0, create_prescription,2,apply,33118.547,12294.416,634
31,0, get_pharmacy_prescriptions,2,stateful_query,112748.892,63908.134,442
21,0, create_prescription,2,apply,38791.705,10513.24,683
29,0, get_prescription_medication,2,stateful_query,12943.048,8.045,66
16,0, get_prescription_medication,2,stateful_query,107531.246,61367.289,1155
28,0, get_processed_pharmacy_prescriptions,2,stateful_query,14152.398,1996.259,57
5,0, get_pharmacy_prescriptions,2,stateful_query,5144.631,6.452,44
22,0, get_pharmacy_prescriptions,2,stateful_query,22753.986,9133.021,103
11,0, process_prescription,2,apply,36098.384,10198.522,399
2,0, get_prescription,2,stateful_query,33961.613,16631.248,217
7,0, get_prescription_medication,2,stateful_query,53906.54,23500.791,222
26,0, get_prescription_medication,2,stateful_query,116204.447,51554.407,1081
18,0, get_prescription_medication,2,stateful_query,23666.26,9516.236,107
20,0, get_prescription_medication,2,stateful_query,67129.823,35669.553,303
19,0, get_staff_prescriptions,2,stateful_query,10138.82,5.71,42
25,0, create_prescription,2,apply,42789.053,11265.094,561
9,0, get_pharmacy_prescriptions,2,stateful_query,15543.967,5.972,80
4,0, get_prescription_medication,2,stateful_query,56027.924,22416.756,191
10,0, create_prescription,2,apply,41608.457,13110.752,498
24,0, get_prescription_medication,2,stateful_query,11523.627,1449.649,32
23,0, get_prescription_medication,2,stateful_query,80069.886,48405.745,308
13,0, get_patient,2,stateful_query,12130.37,582.999,76
1,0, process_prescription,2,apply,25820.885,10395.409,332
30,0, get_processed_pharmacy_prescriptions,2,stateful_query,20970.634,4011.443,41
27,0, get_staff_prescriptions,2,stateful_query,34975.727,15406.671,213
17,0, get_staff_prescriptions,2,stateful_query,72104.836,43743.636,263
3,0, get_prescription_medication,2,stateful_query,7086.197,10.69,85
12,0, get_processed_pharmacy_prescriptions,2,stateful_query,90301.619,52819.781,175
27,1, get_prescription_medication,3,stateful_query,24702.446,3018.919,378
13,1, get_prescription_medication,3,stateful_query,12858.661,1343.199,97
5,1, get_pharmacy_prescriptions,3,stateful_query,16200.243,1239.776,28
8,1, create_prescription,3,apply,36243.265,12713.86,941
26,1, get_pharmacy_prescriptions,3,stateful_query,20510.425,4817.88,88
7,1, get_pharmacy_prescriptions,3,stateful_query,17313.964,2047.665,90
28,1, create_prescription,3,apply,57734.691,18719.349,808
2,1, get_prescription_medication,3,stateful_query,25872.602,3906.158,96
4,1, get_pharmacy_prescriptions,3,stateful_query,11784.064,2450.417,68
23,1, get_prescription,3,stateful_query,45290.285,2873.939,88
30,1, get_staff_prescriptions,3,stateful_query,23759.585,4186.37,136
0,1, get_staff_prescriptions,12,stateful_query,7929.383,865.928,52
