thread_id,front_id,client_operation,back_id,dag_operation,total_time,front_time,back_time
0,-1,,1,apply,,9344.748,41
0,-1,,4,apply,,1129.128,37
0,-1,,3,apply,,1224.437,53
0,-1,,2,apply,,1872.837,31
0,-1,,5,apply,,1128.417,33
1,-1,,1,stateful_query,,9085.825,53
0,-1,,6,apply,,1023.1,38
0,-1,,10,apply,,1006.91,51
0,-1,,8,apply,,974.119,47
0,-1,,7,apply,,1289.888,33
0,-1,,9,apply,,1202.255,37
0,0, get_processed_pharmacy_prescriptions,11,stateful_query,3471.923,4.579,39
1,0, get_staff_prescriptions,2,stateful_query,2329.179,4.429,52
0,1, get_prescription_medication,12,stateful_query,2766.966,9.077,36
1,1, get_prescription_medication,3,stateful_query,5082.951,5.801,20
1,2, get_prescription_medication,4,stateful_query,2451.067,7.232,17
0,2, get_patient,13,stateful_query,3809.363,261.999,38
0,3, get_prescription_medication,14,stateful_query,2145.346,8.326,36
1,3, create_prescription,5,apply,16824.545,7820.793,47
0,4, get_prescription_medication,15,stateful_query,2333.307,9.237,50
1,4, get_prescription_medication,6,stateful_query,4175.466,794.073,45
0,5, get_staff_prescriptions,16,stateful_query,1992.87,3.877,44
1,5, get_prescription_medication,7,stateful_query,3507.89,7.814,61
1,6, get_staff_prescriptions,8,stateful_query,3003.598,4.789,51
0,6, get_prescription,17,stateful_query,2100.041,6.932,33
1,7, get_pharmacy_prescriptions,9,stateful_query,3146.916,692.353,36
0,7, get_pharmacy_prescriptions,18,stateful_query,2185.41,5.591,50
0,8, update_prescription_medication,19,apply,3165.932,864.644,20
1,8, get_prescription_medication,10,stateful_query,3855.148,11.071,25
1,9, get_prescription_medication,11,stateful_query,2421.592,9.158,34
0,9, get_pharmacy_prescriptions,20,stateful_query,4779.765,1716.074,22
1,10, get_pharmacy_prescriptions,12,stateful_query,2883.164,4.057,42
0,10, get_pharmacy_prescriptions,21,stateful_query,2282.251,4.909,18
0,11, create_prescription,22,apply,3273.412,1173.742,23
1,11, get_processed_pharmacy_prescriptions,13,stateful_query,3110.438,4.969,51
1,12, get_pharmacy_prescriptions,14,stateful_query,3274.865,3.496,49
0,12, get_prescription_medication,23,stateful_query,2895.918,415.006,25
0,13, get_staff_prescriptions,24,stateful_query,2153.361,7.474,46
1,13, create_prescription,15,apply,3737.839,1604.686,33
0,14, get_staff_prescriptions,25,stateful_query,3119.775,7.003,49
1,14, process_prescription,16,apply,4606.932,1628.381,34
1,15, get_prescription,17,stateful_query,2274.887,5.04,41
0,15, get_staff_prescriptions,26,stateful_query,2388.981,4.96,16
0,16, get_pharmacy_prescriptions,27,stateful_query,1997.119,3.597,51
1,16, get_staff_prescriptions,18,stateful_query,1572.356,3.635,29
1,17, get_pharmacy_prescriptions,19,stateful_query,4039.793,769.367,50
0,17, get_patient,28,stateful_query,2212.482,283.67,49
0,18, get_prescription,29,stateful_query,2423.605,5.71,34
1,18, get_prescription_medication,20,stateful_query,2406.063,7.564,12
1,19, get_prescription_medication,21,stateful_query,2288.443,8.486,47
0,19, get_prescription_medication,30,stateful_query,3208.512,668.929,33
0,20, get_pharmacy_prescriptions,31,stateful_query,1905.558,2.986,48
1,20, get_staff_prescriptions,22,stateful_query,2925.162,5.0,46
1,21, get_staff_prescriptions,23,stateful_query,3004.75,3.878,55
0,21, get_processed_pharmacy_prescriptions,32,stateful_query,2634.258,890.754,32
