thread_id,front_id,client_operation,back_id,dag_operation,total_time,front_time,back_time
0,-1,,1,apply,,15870.712,2915
0,-1,,2,apply,,3281.026,561
0,-1,,3,apply,,2194.697,363
0,-1,,4,apply,,2229.893,560
0,-1,,5,apply,,2071.148,363
0,-1,,6,apply,,2159.893,405
0,-1,,7,apply,,1558.135,354
0,-1,,8,apply,,2155.104,599
0,-1,,9,apply,,2107.665,471
0,-1,,10,apply,,1891.003,467
1,-1,,1,stateless_query,,8930.861,810
9,-1,,1,stateless_query,,8915.251,67
2,-1,,1,stateless_query,,12408.372,69
5,-1,,1,stateless_query,,9971.093,66
4,-1,,1,stateless_query,,8436.311,94
3,-1,,1,stateless_query,,8883.963,82
8,-1,,1,stateless_query,,8269.923,65
7,-1,,1,stateless_query,,8182.43,73
6,-1,,1,stateless_query,,8858.075,69
2,0, get_processed_pharmacy_prescriptions,2,stateless_query,8384.095,1068.585,90
3,0, create_prescription,2,apply,20977.891,8460.597,507
1,0, get_pharmacy_prescriptions,2,stateless_query,12067.137,1736.195,54
5,0, get_prescription_medication,2,stateless_query,14735.203,1798.411,48
4,0, get_prescription_medication,2,stateless_query,10411.311,1347.322,79
6,0, get_pharmacy_prescriptions,2,stateless_query,8885.957,1916.199,72
0,0, get_prescription_medication,11,stateless_query,9068.116,2892.954,90
7,0, get_pharmacy_prescriptions,2,stateless_query,8251.749,1303.892,90
8,0, get_prescription_medication,2,stateless_query,13024.084,2160.524,111
9,0, get_prescription_medication,2,stateless_query,12962.02,1810.363,93
3,1, get_staff_prescriptions,3,stateless_query,9124.049,1156.279,61
4,1, get_pharmacy_prescriptions,3,stateless_query,12277.528,1470.352,57
9,1, create_prescription,3,apply,25537.381,10748.838,569
8,1, get_prescription_medication,3,stateless_query,13551.334,1344.878,51
6,1, get_patient,3,stateless_query,9294.235,3017.565,54
1,1, create_prescription,3,apply,26301.119,9384.975,625
0,1, get_prescription_medication,12,stateless_query,12334.313,2165.273,58
2,1, get_staff_prescriptions,3,stateless_query,13001.032,1318.66,68
5,1, get_pharmacy_prescriptions,3,stateless_query,13929.336,1459.822,67
7,1, get_prescription_medication,3,stateless_query,9685.112,1242.829,88
7,2, create_prescription,4,apply,43060.372,14785.136,590
2,2, get_prescription_medication,4,stateless_query,9393.44,1637.581,36
3,2, get_pharmacy_prescriptions,4,stateless_query,6926.918,1725.425,100
4,2, get_staff_prescriptions,4,stateless_query,9431.721,2549.937,52
0,2, get_prescription_medication,13,stateless_query,14298.942,1609.26,163
5,2, get_prescription_medication,4,stateless_query,19263.877,8545.965,81
8,2, get_processed_pharmacy_prescriptions,4,stateless_query,27089.413,12703.6,110
9,2, get_prescription,4,stateless_query,27429.234,11450.572,124
1,2, get_prescription_medication,4,stateless_query,20702.148,12160.952,103
6,2, get_pharmacy_prescriptions,4,stateless_query,13941.879,3064.533,110
7,3, get_prescription_medication,5,stateless_query,26429.858,8369.959,150
5,3, get_pharmacy_prescriptions,5,stateless_query,40177.767,10366.679,130
6,3, get_processed_pharmacy_prescriptions,5,stateless_query,16313.856,5989.517,93
4,3, get_prescription_medication,5,stateless_query,9709.587,3076.916,101
1,3, get_pharmacy_prescriptions,5,stateless_query,26801.529,9134.64,112
8,3, get_pharmacy_prescriptions,5,stateless_query,29074.03,5513.632,126
3,3, create_prescription,5,apply,14734.091,6916.699,526
9,3, get_pharmacy_prescriptions,5,stateless_query,24969.996,4937.552,152
2,3, get_staff_prescriptions,5,stateless_query,25100.549,5326.075,84
0,3, get_pharmacy_prescriptions,14,stateless_query,37583.658,16501.384,133
8,4, get_pharmacy_prescriptions,6,stateless_query,21925.991,5169.704,280
9,4, get_prescription_medication,6,stateless_query,18220.608,4335.153,163
1,4, create_prescription,6,apply,11049.125,4944.645,1925
2,4, get_staff_prescriptions,6,stateless_query,16645.312,5676.334,147
3,4, create_prescription,6,apply,34171.52,2818.827,559
5,4, create_prescription,6,apply,49404.738,30159.206,1114
7,4, get_staff_prescriptions,6,stateless_query,17607.949,8317.671,173
6,4, get_staff_prescriptions,6,stateless_query,25412.248,7680.027,118
0,4, get_processed_pharmacy_prescriptions,15,stateless_query,22083.915,6477.123,209
4,4, get_prescription_medication,6,stateless_query,28951.413,6521.665,164
2,5, get_pharmacy_prescriptions,7,stateless_query,15067.36,5971.121,99
8,5, get_pharmacy_prescriptions,7,stateless_query,74323.309,45820.109,309
1,5, update_prescription_medication,7,apply,22554.098,8943.565,402
6,5, get_processed_pharmacy_prescriptions,7,stateless_query,25886.539,10680.611,126
5,5, get_pharmacy_prescriptions,7,stateless_query,219370.811,95157.381,466
7,5, get_prescription_medication,7,stateless_query,46096.573,22284.688,242
9,5, get_staff_prescriptions,7,stateless_query,119911.387,84103.387,303
3,5, get_prescription_medication,7,stateless_query,24963.464,8152.073,120
4,5, create_prescription,7,apply,37052.011,18992.602,696
0,5, process_prescription,16,apply,15871.414,4598.423,832
5,6, get_prescription_medication,8,stateless_query,86973.038,44433.132,455
1,6, get_processed_pharmacy_prescriptions,8,stateless_query,92907.693,46761.478,806
8,6, get_prescription_medication,8,stateless_query,109799.071,54361.856,487
4,6, get_pharmacy_prescriptions,8,stateless_query,129260.485,99675.013,298
0,6, get_prescription_medication,17,stateless_query,62734.631,32470.941,321
6,6, create_prescription,8,apply,24841.627,11886.502,455
7,6, process_prescription,8,apply,45003.652,32938.009,579
2,6, get_prescription_medication,8,stateless_query,45574.953,25607.751,311
9,6, get_prescription,8,stateless_query,127475.358,99063.137,489
3,6, get_pharmacy_prescriptions,8,stateless_query,53620.79,23853.823,285
8,7, get_prescription_medication,9,stateless_query,73360.36,45649.072,606
5,7, get_processed_pharmacy_prescriptions,9,stateless_query,61101.067,29576.323,501
3,7, get_processed_pharmacy_prescriptions,9,stateless_query,114489.795,83967.595,521
4,7, get_prescription_medication,9,stateless_query,188126.068,135394.54,3575
2,7, get_staff_prescriptions,9,stateless_query,92871.085,63630.965,435
9,7, get_processed_pharmacy_prescriptions,9,stateless_query,98911.756,36216.299,470
0,7, get_pharmacy_prescriptions,18,stateless_query,198256.577,139104.381,560
6,7, get_prescription_medication,9,stateless_query,278487.561,188306.993,439
7,7, get_processed_pharmacy_prescriptions,9,stateless_query,184497.998,118093.12,2674
1,7, get_prescription_medication,9,stateless_query,131243.368,70532.738,532
3,8, get_prescription_medication,10,stateless_query,123969.986,81459.495,461
8,8, get_prescription,10,stateless_query,88581.586,46519.397,569
1,8, get_patient,10,stateless_query,67507.667,92544.408,758
2,8, get_pharmacy_prescriptions,10,stateless_query,88676.552,46589.087,471
4,8, get_pharmacy_prescriptions,10,stateless_query,84819.026,38754.945,470
7,8, get_patient,10,stateless_query,93869.76,138915.511,545
0,8, get_prescription_medication,19,stateless_query,77779.589,31576.489,441
6,8, get_pharmacy_prescriptions,10,stateless_query,100674.521,49956.644,493
5,8, get_processed_pharmacy_prescriptions,10,stateless_query,53622.965,26902.195,495
9,8, get_prescription,10,stateless_query,60843.357,34680.775,535
1,9, get_patient,11,stateless_query,96022.239,120707.034,570
4,9, get_prescription,11,stateless_query,93660.561,42863.526,449
3,9, get_prescription_medication,11,stateless_query,66464.71,36418.294,475
5,9, get_pharmacy_prescriptions,11,stateless_query,52353.385,23266.522,466
7,9, get_pharmacy_prescriptions,11,stateless_query,77882.07,43622.908,486
6,9, get_prescription,11,stateless_query,70469.46,31571.911,540
2,9, create_prescription,11,apply,49914.304,33892.581,852
8,9, get_staff_prescriptions,11,stateless_query,76424.221,36016.848,776
9,9, get_prescription_medication,11,stateless_query,68802.273,24757.151,261
0,9, get_pharmacy_prescriptions,20,stateless_query,79885.181,46811.34,569
6,10, get_prescription_medication,12,stateless_query,77290.832,28110.711,491
1,10, get_pharmacy_prescriptions,12,stateless_query,65019.435,32171.734,1718
2,10, get_prescription_medication,12,stateless_query,52123.779,26633.706,422
9,10, get_staff_prescriptions,12,stateless_query,60338.048,35066.892,445
5,10, get_prescription_medication,12,stateless_query,49880.884,19047.093,499
7,10, get_pharmacy_prescriptions,12,stateless_query,59658.857,23609.659,465
8,10, get_pharmacy_prescriptions,12,stateless_query,81421.144,43021.651,566
4,10, create_prescription,12,apply,25364.158,21415.323,687
3,10, get_prescription_medication,12,stateless_query,84814.999,26658.032,1537
0,10, get_staff_prescriptions,21,stateless_query,49134.937,20866.764,612
0,11, get_pharmacy_prescriptions,22,stateless_query,68079.26,25679.123,566
9,11, get_patient,13,stateless_query,61904.961,76643.351,452
6,11, get_staff_prescriptions,13,stateless_query,56409.381,22789.636,454
3,11, get_prescription_medication,13,stateless_query,47177.18,19965.008,634
1,11, get_prescription_medication,13,stateless_query,57701.38,22786.529,886
5,11, get_prescription_medication,13,stateless_query,45915.587,16233.767,554
7,11, get_prescription_medication,13,stateless_query,46354.362,18756.514,502
4,11, create_prescription,13,apply,19951.964,13794.636,620
2,11, get_patient,13,stateless_query,61340.14,89564.563,587
8,11, get_pharmacy_prescriptions,13,stateless_query,52083.885,14999.424,1329
4,12, get_prescription_medication,14,stateless_query,55973.772,27294.515,408
3,12, get_pharmacy_prescriptions,14,stateless_query,56262.978,34702.065,475
2,12, get_pharmacy_prescriptions,14,stateless_query,80068.021,29119.384,1119
1,12, get_prescription,14,stateless_query,66080.688,26517.15,520
8,12, get_prescription_medication,14,stateless_query,59911.217,11301.074,474
7,12, get_prescription_medication,14,stateless_query,63124.256,32442.619,448
5,12, get_prescription_medication,14,stateless_query,53067.103,19472.755,402
0,12, get_prescription_medication,23,stateless_query,64297.825,31353.125,295
9,12, create_prescription,14,apply,26007.885,18289.988,550
6,12, get_pharmacy_prescriptions,14,stateless_query,50301.275,20162.235,534
3,13, get_pharmacy_prescriptions,15,stateless_query,72409.275,39666.519,459
8,13, get_pharmacy_prescriptions,15,stateless_query,48911.784,19987.892,1016
2,13, get_pharmacy_prescriptions,15,stateless_query,69446.028,37443.088,585
1,13, get_patient,15,stateless_query,70761.704,88479.188,443
0,13, get_pharmacy_prescriptions,24,stateless_query,53245.243,21098.414,627
9,13, get_prescription_medication,15,stateless_query,53532.537,23503.372,498
6,13, get_prescription_medication,15,stateless_query,42118.694,17737.16,764
7,13, get_processed_pharmacy_prescriptions,15,stateless_query,57805.896,20752.842,450
5,13, process_prescription,15,apply,22373.583,15202.802,512
4,13, get_processed_pharmacy_prescriptions,15,stateless_query,70159.165,23007.17,449
4,14, get_processed_pharmacy_prescriptions,16,stateless_query,64699.633,27779.997,457
0,14, get_prescription_medication,25,stateless_query,50917.249,17467.22,581
9,14, get_prescription_medication,16,stateless_query,51355.693,22102.751,592
6,14, get_pharmacy_prescriptions,16,stateless_query,39619.702,17282.757,450
8,14, get_pharmacy_prescriptions,16,stateless_query,63297.728,25423.891,414
2,14, get_prescription_medication,16,stateless_query,49654.222,26481.644,430
1,14, get_prescription,16,stateless_query,58021.436,16210.734,484
7,14, get_pharmacy_prescriptions,16,stateless_query,41073.282,16428.52,630
5,14, get_pharmacy_prescriptions,16,stateless_query,41045.27,15454.64,436
3,14, get_patient,16,stateless_query,61484.369,80937.808,511
3,15, get_patient,17,stateless_query,50539.748,61742.7,479
2,15, get_prescription,17,stateless_query,43163.024,16164.007,629
9,15, get_pharmacy_prescriptions,17,stateless_query,166489.769,80761.11,4300
7,15, get_pharmacy_prescriptions,17,stateless_query,57582.35,17935.069,473
6,15, create_prescription,17,apply,23068.594,11112.915,1413
5,15, create_prescription,17,apply,24344.525,12066.055,488
0,15, get_staff_prescriptions,26,stateless_query,61241.859,14678.49,508
4,15, get_pharmacy_prescriptions,17,stateless_query,149601.105,76527.596,1242
8,15, get_pharmacy_prescriptions,17,stateless_query,40477.255,20617.3,476
1,15, get_pharmacy_prescriptions,17,stateless_query,128920.597,53198.286,1673
3,16, get_patient,18,stateless_query,46237.225,50943.557,471
4,16, get_pharmacy_prescriptions,18,stateless_query,166317.849,69931.512,1402
1,16, get_staff_prescriptions,18,stateless_query,139800.107,68488.3,1299
2,16, get_prescription_medication,18,stateless_query,49218.163,22652.381,466
8,16, get_prescription,18,stateless_query,205375.727,71008.934,1732
0,16, get_pharmacy_prescriptions,27,stateless_query,164941.302,103157.074,3362
6,16, update_prescription_medication,18,apply,62639.085,55618.232,466
7,16, get_prescription_medication,18,stateless_query,158885.903,71466.474,1722
5,16, get_processed_pharmacy_prescriptions,18,stateless_query,156611.107,84149.104,1275
9,16, get_patient,18,stateless_query,162887.086,217988.368,3015
3,17, get_prescription_medication,19,stateless_query,219313.76,73115.938,1455
2,17, get_pharmacy_prescriptions,19,stateless_query,47146.403,18562.623,506
4,17, get_pharmacy_prescriptions,19,stateless_query,153252.337,86934.508,1248
9,17, get_prescription_medication,19,stateless_query,154013.141,53826.123,1260
0,17, get_processed_pharmacy_prescriptions,28,stateless_query,129749.737,47432.295,1578
7,17, get_prescription_medication,19,stateless_query,155840.946,78664.335,2923
1,17, create_prescription,19,apply,50177.706,45638.804,694
8,17, get_pharmacy_prescriptions,19,stateless_query,119647.47,49557.633,1410
5,17, get_pharmacy_prescriptions,19,stateless_query,168339.494,83375.698,1881
6,17, get_prescription_medication,19,stateless_query,155124.525,57350.941,1469
0,18, get_processed_pharmacy_prescriptions,29,stateless_query,143373.876,50435.514,1331
1,18, get_prescription_medication,20,stateless_query,131334.15,51992.917,1539
2,18, create_prescription,20,apply,23126.933,14946.195,792
4,18, process_prescription,20,apply,92579.024,85004.033,456
9,18, get_pharmacy_prescriptions,20,stateless_query,781144.998,286104.023,7450
7,18, get_prescription_medication,20,stateless_query,134679.173,49475.13,1489
5,18, get_prescription_medication,20,stateless_query,138397.051,67012.68,2044
8,18, process_prescription,20,apply,84305.394,50782.469,639
3,18, get_pharmacy_prescriptions,20,stateless_query,128760.61,68837.239,1438
6,18, get_prescription_medication,20,stateless_query,141255.421,66403.829,1623
3,19, update_prescription_medication,21,apply,55552.841,48747.338,687
4,19, get_patient,21,stateless_query,636661.969,906635.116,6960
1,19, process_prescription,21,apply,123223.082,112107.773,540
8,19, get_staff_prescriptions,21,stateless_query,355265.878,198866.736,4956
0,19, get_pharmacy_prescriptions,30,stateless_query,657224.676,237420.924,6115
2,19, get_pharmacy_prescriptions,21,stateless_query,165597.761,76517.336,1388
5,19, get_processed_pharmacy_prescriptions,21,stateless_query,711909.026,263391.931,8591
6,19, get_pharmacy_prescriptions,21,stateless_query,442478.074,210633.826,6044
7,19, get_prescription,21,stateless_query,623008.944,208158.443,10058
9,19, get_pharmacy_prescriptions,21,stateless_query,1119202.51,473191.784,17142
9,20, get_prescription_medication,22,stateless_query,4299244.237,1072436.826,56079
6,20, get_prescription_medication,22,stateless_query,561551.41,163206.374,10650
7,20, get_prescription,22,stateless_query,439323.343,155344.428,6603
5,20, get_pharmacy_prescriptions,22,stateless_query,1140141.407,412089.31,15862
4,20, get_pharmacy_prescriptions,22,stateless_query,1100722.897,386658.135,13616
3,20, get_prescription_medication,22,stateless_query,401974.319,204226.894,4019
1,20, get_prescription_medication,22,stateless_query,631232.152,237453.754,5465
2,20, get_staff_prescriptions,22,stateless_query,167507.459,62038.489,3506
0,20, create_prescription,31,apply,185475.804,179034.307,1013
8,20, get_processed_pharmacy_prescriptions,22,stateless_query,620367.785,187412.622,10785
3,21, get_prescription_medication,23,stateless_query,569214.466,227848.11,16199
4,21, get_pharmacy_prescriptions,23,stateless_query,731136.187,219502.698,21467
5,21, create_prescription,23,apply,345420.175,338016.832,671
7,21, get_prescription_medication,23,stateless_query,1199224.888,328161.603,20310
6,21, get_staff_prescriptions,23,stateless_query,1393480.243,331013.492,14648
9,21, process_prescription,23,apply,1106314.766,1095101.313,774
1,21, get_prescription_medication,23,stateless_query,1216257.181,499684.221,11000
0,21, update_prescription_medication,32,apply,331104.532,322595.966,879
2,21, get_prescription,23,stateless_query,114888.579,53746.505,2040
8,21, get_pharmacy_prescriptions,23,stateless_query,1260168.252,361437.612,12836
2,22, get_pharmacy_prescriptions,24,stateless_query,755655.894,279746.924,17535
1,22, process_prescription,24,apply,264411.24,253483.78,1293
8,22, get_prescription_medication,24,stateless_query,3900502.671,1248340.934,45437
