thread_id,front_id,client_operation,back_id,dag_operation,total_time,front_time,back_time
0,-1,,1,apply,,10324.83,561
0,-1,,4,apply,,1557.018,339
0,-1,,3,apply,,1662.645,362
0,-1,,2,apply,,2153.101,355
0,-1,,5,apply,,1800.482,411
1,-1,,1,stateful_query,,9058.715,90
0,-1,,6,apply,,1320.856,383
0,-1,,10,apply,,1380.868,355
0,-1,,8,apply,,1349.721,333
0,-1,,7,apply,,1564.401,354
0,-1,,9,apply,,2014.101,380
0,0, get_prescription_medication,11,stateful_query,3304.58,6.913,62
1,0, get_patient,2,stateful_query,4017.011,367.767,62
0,1, get_pharmacy_prescriptions,12,stateful_query,3912.476,5.712,69
1,1, get_staff_prescriptions,3,stateful_query,2812.191,4.349,31
1,2, create_prescription,4,apply,18833.367,9815.228,522
0,2, get_patient,13,stateful_query,2270.059,322.341,47
0,3, get_prescription_medication,14,stateful_query,2574.337,17.051,54
1,3, create_prescription,5,apply,4379.518,2002.349,438
0,4, get_prescription_medication,15,stateful_query,2178.658,6.892,41
1,4, get_staff_prescriptions,6,stateful_query,3002.286,10.59,61
0,5, get_pharmacy_prescriptions,16,stateful_query,2206.941,5.46,38
1,5, get_pharmacy_prescriptions,7,stateful_query,3886.677,3.698,27
1,6, get_prescription_medication,8,stateful_query,3492.983,7.825,61
0,6, get_staff_prescriptions,17,stateful_query,3168.216,8.256,64
1,7, get_staff_prescriptions,9,stateful_query,4106.278,589.921,49
0,7, get_prescription_medication,18,stateful_query,2379.544,15.91,56
0,8, get_prescription_medication,19,stateful_query,5224.506,1917.511,67
1,8, get_pharmacy_prescriptions,10,stateful_query,2325.792,3.467,57
1,9, get_processed_pharmacy_prescriptions,11,stateful_query,4175.658,565.937,72
0,9, get_prescription,20,stateful_query,3582.149,910.419,18
1,10, get_prescription_medication,12,stateful_query,2822.5,11.401,55
0,10, get_prescription_medication,21,stateful_query,2109.929,12.534,52
0,11, update_prescription_medication,22,apply,4852.291,1336.956,345
1,11, get_pharmacy_prescriptions,13,stateful_query,3773.757,463.686,51
1,12, get_pharmacy_prescriptions,14,stateful_query,1701.427,3.416,40
0,12, get_prescription_medication,23,stateful_query,2590.848,441.163,49
0,13, process_prescription,24,apply,4579.251,1270.913,318
1,13, get_pharmacy_prescriptions,15,stateful_query,2166.054,3.467,33
0,14, get_prescription_medication,25,stateful_query,3168.016,344.584,29
1,14, update_prescription_medication,16,apply,3598.069,1534.075,334
1,15, get_pharmacy_prescriptions,17,stateful_query,3082.175,244.036,40
0,15, update_prescription_medication,26,apply,3064.302,1000.939,410
0,16, get_staff_prescriptions,27,stateful_query,2998.248,646.376,22
1,16, get_prescription_medication,18,stateful_query,3296.506,9.268,59
1,17, get_prescription_medication,19,stateful_query,2118.806,7.113,50
0,17, get_staff_prescriptions,28,stateful_query,2679.754,3.166,50
0,18, get_patient,29,stateful_query,1830.157,194.102,29
1,18, get_prescription,20,stateful_query,2908.432,9.158,24
1,19, get_staff_prescriptions,21,stateful_query,1885.942,2.826,27
0,19, get_patient,30,stateful_query,2368.252,253.583,51
0,20, get_prescription_medication,31,stateful_query,2867.084,442.507,41
1,20, get_pharmacy_prescriptions,22,stateful_query,2290.457,3.486,45
1,21, get_prescription_medication,23,stateful_query,1746.261,5.07,19
0,21, get_prescription_medication,32,stateful_query,2069.174,10.098,17
1,22, get_processed_pharmacy_prescriptions,24,stateful_query,2148.332,4.779,19
0,22, get_prescription_medication,33,stateful_query,2175.241,12.883,28
1,23, get_processed_pharmacy_prescriptions,25,stateful_query,1722.346,4.81,21
0,23, get_processed_pharmacy_prescriptions,34,stateful_query,2604.022,5.76,50
1,24, get_pharmacy_prescriptions,26,stateful_query,3163.447,3.967,49
0,24, get_prescription_medication,35,stateful_query,3405.459,4.979,89
1,25, get_pharmacy_prescriptions,27,stateful_query,2326.244,4.909,39
0,25, get_staff_prescriptions,36,stateful_query,2416.082,3.576,37
0,26, get_pharmacy_prescriptions,37,stateful_query,2745.477,3.005,18
1,26, get_pharmacy_prescriptions,28,stateful_query,2110.672,5.601,27
0,27, get_staff_prescriptions,38,stateful_query,2695.553,3.326,54
1,27, get_pharmacy_prescriptions,29,stateful_query,2788.888,10.409,60
0,28, get_pharmacy_prescriptions,39,stateful_query,2147.42,3.446,34
1,28, get_staff_prescriptions,30,stateful_query,2643.927,4.088,51
1,29, get_processed_pharmacy_prescriptions,31,stateful_query,2328.077,6.292,44
0,29, get_staff_prescriptions,40,stateful_query,2713.717,2.374,47
