thread_id,front_id,client_operation,back_id,dag_operation,total_time,front_time,back_time
0,-1,,1,apply,,9234.491,375
0,-1,,2,apply,,2757.077,328
0,-1,,3,apply,,1690.646,443
0,-1,,7,apply,,1711.335,448
0,-1,,6,apply,,1225.398,352
1,-1,,1,stateless_query,,8282.504,63
0,-1,,9,apply,,1718.349,463
0,-1,,10,apply,,1295.9,367
0,-1,,8,apply,,1490.022,515
0,-1,,5,apply,,1586.963,534
0,-1,,4,apply,,1694.504,428
1,0, get_pharmacy_prescriptions,2,stateless_query,4240.126,1408.971,52
0,0, get_pharmacy_prescriptions,11,stateless_query,6756.274,2756.997,55
0,1, get_prescription_medication,12,stateless_query,3541.912,811.686,71
1,1, get_processed_pharmacy_prescriptions,3,stateless_query,5517.071,954.231,67
0,2, get_staff_prescriptions,13,stateless_query,4602.664,1112.517,72
1,2, get_prescription_medication,4,stateless_query,5393.289,1052.835,34
0,3, get_prescription,14,stateless_query,5342.014,1286.001,71
1,3, get_prescription_medication,5,stateless_query,5641.503,1540.706,26
0,4, get_patient,15,stateless_query,6128.983,3264.936,100
1,4, process_prescription,6,apply,18510.6,8837.44,382
0,5, get_prescription_medication,16,stateless_query,4037.438,840.189,94
1,5, get_prescription_medication,7,stateless_query,4166.489,1025.504,24
1,6, get_prescription_medication,8,stateless_query,3588.881,704.766,74
0,6, get_prescription_medication,17,stateless_query,3152.585,684.869,50
1,7, get_pharmacy_prescriptions,9,stateless_query,5098.72,1514.358,77
0,7, get_processed_pharmacy_prescriptions,18,stateless_query,4145.36,1121.955,66
0,8, get_staff_prescriptions,19,stateless_query,5416.012,1258.771,73
1,8, get_prescription_medication,10,stateless_query,5038.267,879.642,72
1,9, get_prescription_medication,11,stateless_query,4162.642,1032.447,82
0,9, process_prescription,20,apply,4340.274,1211.933,468
0,10, process_prescription,21,apply,4087.09,1202.314,326
1,10, create_prescription,12,apply,5548.48,2760.184,581
1,11, get_pharmacy_prescriptions,13,stateless_query,4358.918,1308.423,64
0,11, update_prescription_medication,22,apply,4895.239,1220.699,256
1,12, get_pharmacy_prescriptions,14,stateless_query,4309.095,1411.815,48
0,12, process_prescription,23,apply,4489.552,1063.936,296
0,13, get_staff_prescriptions,24,stateless_query,5429.497,1186.555,68
1,13, create_prescription,15,apply,3995.63,1859.151,593
1,14, get_patient,16,stateless_query,4712.258,3269.955,66
0,14, create_prescription,25,apply,4608.164,1205.13,329
1,15, get_pharmacy_prescriptions,17,stateless_query,3654.082,1132.855,61
0,15, get_prescription,26,stateless_query,5300.537,1559.842,56
1,16, get_processed_pharmacy_prescriptions,18,stateless_query,3923.786,1656.945,40
0,16, get_prescription_medication,27,stateless_query,4020.957,952.549,67
0,17, get_prescription_medication,28,stateless_query,8621.006,4887.404,68
1,17, get_processed_pharmacy_prescriptions,19,stateless_query,6270.427,2130.428,99
1,18, get_processed_pharmacy_prescriptions,20,stateless_query,3853.465,1427.946,32
0,18, get_prescription_medication,29,stateless_query,5108.829,1596.231,64
0,19, get_staff_prescriptions,30,stateless_query,4008.244,1468.601,46
1,19, get_prescription_medication,21,stateless_query,4572.897,1239.885,66
